tournament,date,player,outright_odds,bookmaker
Masters 2024,2024-04-11,Scottie Scheffler,+400,DraftKings
Masters 2024,2024-04-11,Jon Rahm,+900,DraftKings
Masters 2024,2024-04-11,Rory McIlroy,+1000,DraftKings
Masters 2024,2024-04-11,Viktor Hovland,+1400,DraftKings
Masters 2024,2024-04-11,Patrick Cantlay,+1600,DraftKings
Masters 2024,2024-04-11,Xander Schauffele,+1800,DraftKings
Masters 2024,2024-04-11,Jordan Spieth,+2000,DraftKings
Masters 2024,2024-04-11,Justin Thomas,+2200,DraftKings
Masters 2024,2024-04-11,Brooks Koepka,+2500,DraftKings
Masters 2024,2024-04-11,Collin Morikawa,+2800,DraftKings
